"Timestamp","State","City","Items in stock currently:"
"03/28/20 21:26","VA","Woodbridge","Toilet Paper"
"03/28/20 21:21","CA","San Bernardino","Toilet Paper, Paper Towels, Disinfecting Wipes"
"03/28/20 21:21","CO","Westminster","Toilet Paper"
"03/28/20 21:19","AZ","Tucson","Toilet Paper, Disinfecting Wipes, Lysol"
"03/28/20 21:18","VA","Woodbridge","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 21:17","CO","Westminster","Toilet Paper"
"03/28/20 21:17","CA","dublin","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 21:16","IL","North riverside","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 21:15","CA","Tustin -Marketplace","Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 21:14","CO","Aurora","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Lysol"
"03/28/20 21:13","CA","san diego","Toilet Paper, Paper Towels"
"03/28/20 21:10","TX","Arlington,","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Rice, Lysol"
"03/28/20 21:02","MD","Rockville","Toilet Paper"
"03/28/20 21:00","CA","Tustin","Toilet Paper, Rice"
"03/28/20 20:59","CA","Tustin","Toilet Paper"
"03/28/20 20:58","AZ","Chandler","Paper Towels, Disinfecting Wipes"
"03/28/20 20:53","IL","Melrose Park","Toilet Paper, Disinfecting Wipes"
"03/28/20 20:53","CA","Canyon country","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Rice, Lysol"
"03/28/20 20:52","UT","South Jordan","Toilet Paper, Disinfecting Wipes, Rice"
"03/28/20 20:50","CA","Sunnyvale","Disinfecting Wipes, Lysol"
"03/28/20 20:49","CA","Torrance","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 20:49","CA","Redwood City","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 20:48","AZ","Chandler","Toilet Paper, Lysol"
"03/28/20 20:46","CA","South Pasadena","Toilet Paper"
"03/28/20 20:44","AB","Edmonton","Toilet Paper"
"03/28/20 20:43","CA","Torrance","Toilet Paper, Disinfecting Wipes, Lysol"
"03/28/20 20:36","AZ","Phoenix","Toilet Paper, Paper Towels"
"03/28/20 20:32","CA","Torrance","Toilet Paper, Paper Towels"
"03/28/20 20:32","WI","Pewaukee","Toilet Paper, Disinfecting Wipes"
"03/28/20 20:21","CA","Van Nuys","Toilet Paper"
"03/28/20 20:19","CA","Rancho Cucamonga","Toilet Paper, Paper Towels"
"03/28/20 20:16","UT","Sandy","Toilet Paper"
"03/28/20 20:15","CA","Commerce","Toilet Paper, Disinfecting Wipes, Lysol"
"03/28/20 20:13","AZ","Phoenix - Beardsley","Water"
"03/28/20 20:12","NY","Nanuet","Toilet Paper"
"03/28/20 20:11","CA","MODESTO","None Available"
"03/28/20 20:07","AZ","Gilbert - Market","None Available"
"03/28/20 20:03","ID","Nampa","Toilet Paper, Disinfecting Wipes, Lysol"
"03/28/20 19:59","ID","Nampa","Toilet Paper, Disinfecting Wipes"
"03/28/20 19:59","CA","MISSION VIEJO","Toilet Paper, Paper Towels, Disinfecting Wipes, Water, Rice, Lysol"
"03/28/20 19:59","UT","Salt Lake City","Toilet Paper"
"03/28/20 19:58","MA","West Springfield","Toilet Paper, Disinfecting Wipes, Lysol"
"03/28/20 19:52","CA","Livermore","Toilet Paper, Paper Towels"
"03/28/20 19:50","VA","Arlington","None Available"
"03/28/20 19:48","CA","San Bernardino","Toilet Paper"
"03/28/20 19:46","TX","Southlake","Water, Rice"
"03/28/20 19:43","FL","Pensacola","Toilet Paper, Paper Towels"
"03/28/20 19:42","MI","28 th street","Toilet Paper, Paper Towels, Disinfecting Wipes"
"03/28/20 19:38","CA","91732","Toilet Paper, Paper Towels"
"03/28/20 19:30","CA","Palm Desert","Toilet Paper, Paper Towels, Water"
"03/28/20 19:29","AZ","Tucson","Disinfecting Wipes"
"03/28/20 19:26","CA","Oakland","Toilet Paper"
"03/28/20 19:24","CO","Littleton","Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 19:19","IL","Naperville","Toilet Paper, Paper Towels, Disinfecting Wipes"
"03/28/20 19:19","WA","Bellingham","Toilet Paper, Paper Towels"
"03/28/20 19:09","MI","Brighton","Lysol"
"03/28/20 19:09","AZ","Gilbert","Toilet Paper, Disinfecting Wipes, Rice"
"03/28/20 19:08","CA","La Habra","Toilet Paper"
"03/28/20 19:07","KY","Louisville","Toilet Paper, Disinfecting Wipes, Lysol"
"03/28/20 19:04","CA","Roseville, Citrus Heights","Toilet Paper, Disinfecting Wipes, Lysol"
"03/28/20 18:59","WI","Pewaukee","Toilet Paper, Disinfecting Wipes"
"03/28/20 18:52","CA","Alhambra","Disinfecting Wipes"
"03/28/20 18:49","CA","Los Angeles","Toilet Paper, Paper Towels"
"03/28/20 18:49","CA","Richmond","Toilet Paper, Paper Towels"
"03/28/20 18:45","CA","So San Francisco","Toilet Paper, Paper Towels, Disinfecting Wipes"
"03/28/20 18:44","CA","Gilroy","Toilet Paper, Paper Towels"
"03/28/20 18:42","CA","Azusa","Water"
"03/28/20 18:40","CA","Tustin","Toilet Paper"
"03/28/20 18:36","WI","Grafton","Paper Towels, Water, Rice"
"03/28/20 18:36","OH","Marion","Toilet Paper, Water"
"03/28/20 18:36","IN","Granger","Toilet Paper, Disinfecting Wipes"
"03/28/20 18:26","AZ","Gilbert","Toilet Paper"
"03/28/20 18:22","MI","Brighton","Toilet Paper"
"03/28/20 18:20","MI","Brighton","Toilet Paper, Disinfecting Wipes"
"03/28/20 18:17","OH","Avon","Toilet Paper"
"03/28/20 18:12","NV","Las Vegas","Toilet Paper, Paper Towels, Disinfecting Wipes, Lysol"
"03/28/20 18:10","CA","Tustin - Marketplace","Toilet Paper"
"03/28/20 18:10","MN","Coon Rapids","Toilet Paper"
"03/28/20 18:00","AZ","Oak St","Toilet Paper"
